索引	类别	原始问	英语	分词
203	retirement-plans	有限责任公司有退休计划吗？	Can  An  LLC  Have  A  Retirement  Plan?	有限责任公司 有 退休 计划
204	auto-insurance	福特野马的汽车保险费用多少？	How  Much  Would  Car  Insurance  Cost  For  A  Ford  Mustang?	福特 野马 汽车 保险费用 多少
205	auto-insurance	保险会覆盖我的车上的一棵树吗？	Will  Insurance  Cover  A  Tree  Falling  On  My  Car?	保险会 覆盖 我 车上 一 棵树
206	life-insurance	人寿保险政策的面值是多少？	What  Is  The  Face  Value  Of  A  Term  Life  Insurance  Policy?	人寿保险 政策 面值 是 多少
207	life-insurance	什么是安联人寿保险？	What  Is  Allianz  Life  Insurance?	什么 是 安联 人寿保险
208	life-insurance	人寿保险的现金投降价值是多少？	What  Is  Cash  Surrender  Value  In  Life  Insurance?	人寿保险 现金 投降 价值 是 多少
209	renters-insurance	租客保险是否盖车库盗窃？	Does  Renters  Insurance  Cover  Garage  Theft?	租客 保险 是否 盖 车库 盗窃
210	life-insurance	高胆固醇是否会影响人寿保险费率？	Does  High  Cholesterol  Affect  Life  Insurance  Rates?	高 胆固醇 是否 会 影响 人寿 保险费率
211	medicare-insurance	医疗保险支付疼痛泵？	Will  Medicare  Pay  For  A  Pain  Pump?	医疗保险 支付 疼痛 泵
212	life-insurance	什么是人寿保险类型？	What  Are  The  Types  Of  Life  Insurance  Policies?	什么 是 人寿保险 类型
213	life-insurance	国家农场寿险对THC进行测试？	Does  State  Farm  Life  Insurance  Test  For  THC?	国家 农场 寿险 对 THC 进行 测试
214	health-insurance	哪里可以为个人购买健康保险？	Where  Can  I  Buy  Health  Insurance  For  An  Individual?	哪里 可以 为 个人 购买 健康 保险
215	medicare-insurance	什么时候可以从医疗保险优势计划中消失？	When  Can  You  Disenroll  From  A  Medicare  Advantage  Plan?	什么 时候 可以 从 医疗保险 优势 计划 中 消失
216	life-insurance	人寿保险去财产？	Does  Life  Insurance  Go  To  Estate?	人寿保险 去 财产
217	renters-insurance	租客保险是否涵盖啮齿动物损伤？	Does  Renters  Insurance  Cover  Rodent  Damage?	租客 保险 是否 涵盖 啮齿动物 损伤
218	retirement-plans	当我可以从我的401K提款？	When  I  Can  Withdraw  Money  From  My  401K?	当 我 可以 从 我 401 K 提款
219	renters-insurance	公寓可以让你有租赁保险吗？	Can  An  Apartment  Force  You  To  Have  Renters  Insurance?	公寓 可以 让 你 有 租赁 保险
220	medicare-insurance	Medigap是否覆盖眼睛检查？	Does  Medigap  Cover  Eye  Exams?	Medigap 是否 覆盖 眼睛 检查
221	home-insurance	哪里最好的地方得到房主的保险？	Where  Is  The  Best  Place  To  Get  Homeowners  Insurance?	哪里 最好 地方 得到 房主 保险
222	life-insurance	人寿保险期满是什么意思？	What  Does  Life  Insurance  Maturity  Mean?	人寿保险 期满 是 什么 意思
223	renters-insurance	租客保险是否覆盖踏板车？	Does  Renters  Insurance  Cover  Scooters?	租客 保险 是否 覆盖 踏板车
224	home-insurance	房主的保险是否会包裹食物？	Will  Homeowners  Insurance  Cover  Spoiled  Food?	房主 保险 是否 会 包裹 食物
225	home-insurance	家庭保险是否覆盖火灾？	Does  home  insurance  cover  fire?	家庭 保险 是否 覆盖 火灾
226	health-insurance	当你退出工作时，健康保险停止吗？	When  You  Quit  Your  Job  Does  Health  Insurance  Stop?	当 你 退出 工作 时 健康 保险 停止
227	auto-insurance	你可以购买停车许可证的汽车保险吗？	Can  You  Buy  Car  Insurance  With  A  Suspended  License?	你 可以 购买 停车 许可证 汽车保险
228	life-insurance	为什么人寿保险成本更高？	Why  Does  Life  Insurance  Cost  More  For  Men?	为什么 人寿保险 成本 更高
229	life-insurance	人寿养老计划是什么？	What  Is  A  Endowment  Plan  In  Life  Insurance?	人寿 养老 计划 是 什么
230	life-insurance	老年人的人寿保险费用多少？	How  Much  Does  Life  Insurance  Cost  For  Seniors?	老年人 人寿保险 费用 多少
231	home-insurance	何时使用您的家庭保险？	When  To  Use  Your  Home  Insurance?	何时 使用 您 家庭 保险
232	home-insurance	房主保险是否涵盖基金会问题？	Does  Homeowners  Insurance  Cover  Foundation  Issues?	房主 保险 是否 涵盖 基金会 问题
233	life-insurance	当我取消人寿保险时会发生什么？	What  Happens  When  I  Cancel  Life  Insurance?	当 我 取消 人寿保险 时会 发生 什么
234	life-insurance	如果我取消人寿保险政策会发生什么？	What  Happens  If  I  Cancel  A  Life  Insurance  Policy?	如果 我 取消 人寿保险 政策 会 发生 什么
235	disability-insurance	残疾人保险如何必要？	How  Necessary  Is  Disability  Insurance?	残疾人 保险 如何 必要
236	life-insurance	什么是Aetna人寿保险？	What  Is  Aetna  Life  Insurance?	什么 是 Aetna 人寿保险
237	health-insurance	如何支付健康保险？	How  Can  I  Afford  Health  Insurance?	如何 支付 健康 保险
238	renters-insurance	租金保险不包括什么？	What  Will  Renters  Insurance  Not  Cover?	租金 保险 不 包括 什么
239	life-insurance	人寿保险何时进入？	When  Does  Life  Insurance  Kick  In?	人寿保险 何时 进入
240	auto-insurance	什么是没有汽车保险的罚款？	What  Is  The  Fine  For  No  Car  Insurance?	什么 是 没有 汽车保险 罚款
241	renters-insurance	租客保险是否覆盖我的车库？	Does  Renters  Insurance  Cover  My  Garage?	租客 保险 是否 覆盖 我 车库
242	life-insurance	寿险是否影响FAFSA？	Does  Life  Insurance  Affect  FAFSA?	寿险 是否 影响 FAFSA
243	auto-insurance	非法移民可以获得汽车保险吗？	Can  An  Illegal  Immigrant  Get  Car  Insurance?	非法 移民 可以 获得 汽车保险
244	home-insurance	房主保险是否覆盖水泵？	Does  Homeowners  Insurance  Cover  Sump  Pumps?	房主 保险 是否 覆盖 水泵
245	health-insurance	购买健康保险时要注意什么？	What  To  Look  For  When  Purchasing  Health  Insurance?	购买 健康 保险 时 要 注意 什么
246	home-insurance	房主保险覆盖地下水？	Does  Homeowners  Insurance  Cover  Groundwater?	房主 保险 覆盖 地下水
247	auto-insurance	你可以通过电话获得汽车保险吗？	Can  You  Get  Auto  Insurance  Over  The  Phone?	你 可以 通过 电话 获得 汽车保险
248	medicare-insurance	医疗保险是否考虑福利？	Is  Medicare  Considered  Welfare?	医疗保险 是否 考虑 福利
249	medicare-insurance	是否必须在65岁申请医疗保险？	Is  It  Mandatory  To  Apply  For  Medicare  At  65?	是否 必须 在 65 岁 申请 医疗保险
250	retirement-plans	什么类型的退休计划是基于公式？	What  Type  Of  Retirement  Plan  Is  Based  On  A  Formula?	什么 类型 退休 计划 是 基于 公式
251	life-insurance	如果我提到人寿保险申请，会发生什么？	What  Happens  If  I  Lie  On  A  Life  Insurance  Application?	如果 我 提到 人寿保险 申请 会 发生 什么
252	life-insurance	人寿保险公司可以检查病历吗？	Can  Life  Insurance  Companies  Check  Medical  Records?	人寿保险 公司 可以 检查 病历
253	life-insurance	DUI会影响人寿保险多久？	How  Long  Does  A  DUI  Affect  Life  Insurance?	DUI 会 影响 人寿保险 多久
254	long-term-care-insurance	长期护理保险是什么意思？	What  Does  Long  Term  Care  Insurance  Mean?	长期 护理 保险 是 什么 意思
255	retirement-plans	退休计划在工作中涵盖什么？	What  Is  Covered  By  A  Retirement  Plan  At  Work?	退休 计划 在工作中 涵盖 什么
256	auto-insurance	汽车保险在纽约有多少？	How  Much  Is  Car  Insurance  In  NY?	汽车保险 在 纽约 有 多少
257	retirement-plans	你为什么要退休？	Why  Should  You  Have  A  Retirement  Plan?	你 为什么 要 退休
258	disability-insurance	短期残疾保险是否涵盖孕产妇？	Does  Short  Term  Disability  Insurance  Cover  Maternity?	短期 残疾 保险 是否 涵盖 孕产妇
259	health-insurance	健康保险在离职时结束什么时候？	When  Does  Health  Insurance  End  When  Leaving  A  Job?	健康 保险 在 离职 时 结束 什么 时候
260	life-insurance	人寿保险在支付时纳税吗？	Does  Life  Insurance  Get  Taxed  At  Payout?	人寿保险 在 支付 时 纳税
261	auto-insurance	谁是最便宜的汽车保险为新的司机？	Who  Is  The  Cheapest  Car  Insurance  For  New  Drivers?	谁 是 最 便宜 汽车保险 为 新的 司机
262	medicare-insurance	Medigap支付什么？	What  Does  Medigap  Pay  For?	Medigap 支付 什么
263	auto-insurance	为什么男士汽车保险更高？	Why  Is  Men's  Car  Insurance  Higher?	为什么 男士 汽车保险 更高
264	auto-insurance	我可以从没有保险的企业租车吗？	Can  I  Rent  A  Car  From  Enterprise  Without  Insurance?	我 可以 从 没有 保险 企业 租车
265	auto-insurance	汽车保险公司能放你吗？	Can  Car  Insurance  Companies  Drop  You?	汽车 保险公司 能 放 你
266	health-insurance	什么是长期健康保险？	What  Is  Long  Term  Health  Insurance?	什么 是 长期 健康 保险
267	home-insurance	房主保险增加吗？	Is  Homeowners  Insurance  Increasing?	房主 保险 增加
268	retirement-plans	什么是退休计划信托？	What  Is  A  Retirement  Plan  Fiduciary?	什么 是 退休 计划 信托
269	life-insurance	如何从人寿保险中提取现金价值？	How  To  Withdraw  Cash  Value  From  Life  Insurance  Policy?	如何 从 人寿保险 中 提取 现金 价值
270	disability-insurance	什么是退休幸存者和残疾保险？	What  Is  Retirement  Survivors  And  Disability  Insurance?	什么 是 退休 幸存者 和 残疾 保险
271	annuities	年金排除率是多少？	What  Is  The  Exclusion  Ratio  In  Annuities?	年金 排除 率 是 多少
272	disability-insurance	残疾保险是什么意思？	What  Does  Disability  Insurance  Mean?	残疾 保险 是 什么 意思
273	annuities	年金可以转入401K吗？	Can  An  Annuity  Be  Rolled  Into  A  401K?	年金 可以 转入 401 K
274	medicare-insurance	你可以要求减少医疗保险吗	Can  You  Claim  A  Breast  Reduction  On  Medicare?	你 可以 要求 减少 医疗保险
275	home-insurance	我的房主保险是否覆盖了一个漏水屋顶？	Will  My  Homeowners  Insurance  Cover  A  Leaky  Roof?	我 房主 保险 是否 覆盖 一个 漏水 屋顶
276	medicare-insurance	医疗保险何时覆盖血液测试？	When  Does  Medicare  Cover  Blood  Tests?	医疗保险 何时 覆盖 血液 测试
277	life-insurance	人寿保险公司可以访问医疗记录吗？	Can  Life  Insurance  Companies  Access  Medical  Records?	人寿保险 公司 可以 访问 医疗 记录
278	life-insurance	20年的人寿保险是多少？	How  Much  Is  Term  Life  Insurance  For  20  Years?	20 年 人寿保险 是 多少
279	life-insurance	什么是人寿保险？	What  Is  The  Term  Of  Life  Insurance?	什么 是 人寿保险
280	home-insurance	什么是家庭保险的年度保费？	What  Is  An  Annual  Premium  For  Home  Insurance?	什么 是 家庭 保险 年度 保费
281	life-insurance	我应该买什么样的人寿保险？	What  Kind  Of  Life  Insurance  Should  I  Buy?	我 应该 买 什么样 人寿保险
282	medicare-insurance	Xarelto是由Medicare覆盖吗？	Is  Xarelto  Covered  By  Medicare?	Xarelto 是 由 Medicare 覆盖
283	health-insurance	我的健康保险什么时候停了？	I  Was  Fired  When  Does  My  Health  Insurance  Stop?	我 健康 保险 什么 时候 停
284	life-insurance	美元人寿保险如何运作？	How  Does  Split  Dollar  Life  Insurance  Work?	美元 人寿保险 如何 运作
285	life-insurance	是否可以取消人寿保险？	Is  It  Ok  To  Cancel  Life  Insurance?	是否 可以 取消 人寿保险
286	life-insurance	谁应该受益于人寿保险？	Who  Should  Be  Beneficiary  On  Life  Insurance?	谁 应该 受益 于 人寿保险
287	health-insurance	你可以从群体健康保险中掉下来吗？	Can  You  Be  Dropped  From  Group  Health  Insurance?	你 可以 从 群体 健康 保险中 掉下来
288	life-insurance	人寿保险是否覆盖癌症？	Does  Life  Insurance  Cover  Cancer?	人寿保险 是否 覆盖 癌症
289	disability-insurance	什么是补充长期残疾保险？	What  Is  Supplemental  Long  Term  Disability  Insurance?	什么 是 补充 长期 残疾 保险
290	auto-insurance	可以结婚的孩子留在父母汽车保险吗？	Can  Married  Children  stay  On  Parents  Auto  Insurance?	可以 结婚 孩子 留在 父母 汽车保险
291	medicare-insurance	你可以要求医疗保险和私人健康吗？	Can  You  Claim  Medicare  And  Private  Health?	你 可以 要求 医疗保险 和 私人 健康
292	life-insurance	什么是人寿保险年金？	What  Is  A  Life  Insurance  Annuity?	什么 是 人寿保险 年金
293	disability-insurance	我可以期待赔偿残疾保险？	What  Can  I  Expect  To  Pay  For  Disability  Insurance?	我 可以 期待 赔偿 残疾 保险
294	life-insurance	什么是相互全人寿保险？	What  Is  Mutual  Whole  Life  Insurance?	什么 是 相互 全 人寿保险
295	retirement-plans	什么是养老金计划赞助？	What  Is  A  Pension  Plan  Sponsor?	什么 是 养老金 计划 赞助
296	disability-insurance	什么国家有国家残疾保险？	What  States  Have  State  Disability  Insurance?	什么 国家 有 国家 残疾 保险
297	disability-insurance	长期残疾保险涵盖什么？	What  Is  Covered  By  Long  Term  Disability  Insurance?	长期 残疾 保险 涵盖 什么
298	home-insurance	你可以切换家庭保险吗？	Can  You  Switch  Home  Insurance?	你 可以 切换 家庭 保险
299	long-term-care-insurance	谁从谁购买长期护理保险？	Who  To  Buy  Long  Term  Care  Insurance  From?	谁 从 谁 购买 长期 护理 保险
300	medicare-insurance	医疗保险覆盖Zostavax？	Does  Medicare  Cover  Zostavax?	医疗保险 覆盖 Zostavax
301	critical-illness-insurance	Aflac癌症保险值得吗？	Is  Aflac  Cancer  Insurance  Worth  It?	Aflac 癌症 保险 值得
302	auto-insurance	你可以切换汽车保险中期政策吗？	Can  You  Switch  Car  Insurance  Mid  Policy?	你 可以 切换 汽车保险 中期 政策
303	home-insurance	我的索赔被我的犯罪记录否认是对的吗？	My  Claim  Was  Denied  Due  To  My  Criminal  Record.  Is  That  Right?	我 索赔 被 我 犯罪 记录 否认 是 对
304	life-insurance	人寿保险在你的W2？	Does  Life  Insurance  Go  On  Your  W2?	人寿保险 在 你 W 2
305	life-insurance	养老院可以拿人寿保险吗？	Can  Nursing  Home  Take  Life  Insurance?	养老院 可以 拿 人寿保险
